date	groupes	genre	renouveau	typeprop	discute	total
2017-07-18	LC	F	anciens	création d'une commission d'enquête	attente	1
2017-07-31	GDR	H	anciens	création d'une commission d'enquête	attente	1
2017-07-31	LR	H	nouveaux	loi constitutionnelle	discute	1
2017-08-04	LC	F	anciens	création d'une commission d'enquête	attente	1
2017-08-08	LR	H	nouveaux	loi	attente	1
2017-08-25	LR	H	nouveaux	loi organique	attente	1
2017-08-28	LC	H	anciens	loi	attente	1
2017-08-28	LR	H	anciens	loi	attente	6
2017-08-29	LC	H	nouveaux	loi	attente	1
2017-08-29	LR	H	anciens	loi	attente	3
2017-08-29	LR	H	nouveaux	loi	attente	1
2017-08-29	LREM	H	anciens	loi	attente	1
2017-08-29	NI	H	anciens	loi	attente	2
2017-09-05	LR	H	anciens	loi	discute	1
2017-09-05	LR	H	nouveaux	loi	attente	1
2017-09-06	LR	F	anciens	loi	attente	1
2017-09-06	LR	H	anciens	loi	attente	1
2017-09-06	LR	H	nouveaux	loi	attente	2
2017-09-13	LC	H	anciens	loi constitutionnelle	attente	1
2017-09-18	NI	H	nouveaux	création d'une commission d'enquête	attente	1
2017-09-18	NI	H	nouveaux	règlement de l'Assemblée nationale	attente	1
2017-09-21	LREM	H	anciens	règlement de l'Assemblée nationale	attente	1
2017-09-22	NI	H	anciens	loi	attente	1
2017-09-25	LR	H	anciens	création d'une commission d'enquête	attente	1
2017-09-25	LR	H	nouveaux	résolution	attente	1
2017-09-27	LC	F	anciens	loi	attente	1
2017-09-27	LC	H	anciens	loi	attente	7
2017-09-27	LR	F	anciens	loi	attente	1
2017-09-27	LR	H	anciens	loi	attente	1
2017-09-27	LREM	H	anciens	loi	attente	1
2017-10-02	LR	H	nouveaux	loi organique	attente	1
2017-10-06	LR	H	anciens	loi constitutionnelle	attente	1
2017-10-09	LR	F	anciens	création d'une commission d'enquête	attente	1
2017-10-09	NI	H	nouveaux	création d'une commission d'enquête	attente	1
2017-10-10	LC	F	anciens	loi	attente	8
2017-10-10	LC	H	anciens	loi	attente	11
2017-10-10	LR	F	anciens	loi	attente	1
2017-10-10	LR	F	nouveaux	loi	attente	2
2017-10-10	LR	H	anciens	loi	attente	5
2017-10-10	LR	H	anciens	loi	discute	1
2017-10-10	LR	H	nouveaux	loi	attente	2
2017-10-10	NI	F	nouveaux	loi	attente	2
2017-10-10	NI	H	anciens	loi	attente	1
2017-10-10	NI	H	nouveaux	loi	attente	2
2017-10-11	LC	H	anciens	loi	attente	1
2017-10-11	LR	F	anciens	loi	attente	10
2017-10-13	LC	H	anciens	création d'une commission d'enquête	attente	1
2017-10-13	LC	H	anciens	loi	attente	4
2017-10-13	LC	H	nouveaux	loi	attente	1
2017-10-13	LC	H	nouveaux	loi	discute	1
2017-10-13	LR	F	anciens	loi	attente	4
2017-10-13	LR	H	anciens	loi	attente	1
2017-10-16	LC	H	anciens	loi	discute	1
2017-10-16	LR	H	anciens	création d'une commission d'enquête	attente	1
2017-10-16	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2017-10-17	MODEM	H	nouveaux	loi	attente	1
2017-10-18	GDR	H	nouveaux	création d'une commission d'enquête	attente	1
2017-10-18	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2017-10-18	MODEM	H	nouveaux	loi	discute	1
2017-10-19	NI	F	nouveaux	création d'une commission d'enquête	attente	1
2017-10-20	LR	H	anciens	création d'une commission d'enquête	attente	1
2017-10-23	LC	H	anciens	loi	attente	1
2017-10-23	LC	H	nouveaux	loi	attente	1
2017-10-23	LR	F	anciens	loi	attente	1
2017-10-23	LR	H	anciens	loi	attente	3
2017-10-23	LR	H	nouveaux	loi	attente	2
2017-10-23	LREM	F	nouveaux	résolution européenne	attente	1
2017-10-23	NI	H	anciens	loi	discute	1
2017-10-24	GDR	H	nouveaux	création d'une commission d'enquête	attente	1
2017-10-24	LC	H	anciens	loi	discute	1
2017-10-24	LR	F	nouveaux	loi	attente	1
2017-10-24	LR	H	anciens	loi	attente	6
2017-10-24	LR	H	nouveaux	loi	attente	4
2017-10-25	LR	F	anciens	loi	attente	3
2017-10-25	LR	H	nouveaux	loi	attente	1
2017-10-25	LREM	H	anciens	loi	attente	1
2017-10-25	MODEM	H	nouveaux	loi	attente	2
2017-10-25	MODEM	H	nouveaux	loi	discute	1
2017-10-26	LC	H	nouveaux	loi	attente	1
2017-10-30	LC	H	anciens	loi	discute	1
2017-10-30	LR	F	nouveaux	loi	attente	1
2017-10-30	LR	H	anciens	création d'une commission d'enquête	attente	1
2017-10-30	LR	H	anciens	loi	attente	2
2017-10-30	MODEM	H	nouveaux	loi	attente	1
2017-10-30	NI	H	anciens	loi	attente	1
2017-10-31	LC	H	nouveaux	loi	attente	1
2017-10-31	LR	H	nouveaux	loi	attente	1
2017-10-31	NI	H	anciens	loi	attente	1
2017-11-02	LC	H	anciens	loi	attente	1
2017-11-02	LR	H	nouveaux	loi	attente	1
2017-11-03	LFI	F	nouveaux	création d'une commission d'enquête	attente	1
2017-11-07	LC	H	anciens	loi	attente	1
2017-11-07	LR	H	anciens	création d'une commission d'enquête	attente	1
2017-11-07	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2017-11-08	LC	H	anciens	loi	attente	3
2017-11-08	MODEM	H	nouveaux	résolution	discute	1
2017-11-09	LC	H	anciens	loi	attente	2
2017-11-09	LR	F	anciens	loi	attente	2
2017-11-09	LR	H	nouveaux	loi	attente	1
2017-11-10	LC	H	anciens	loi	attente	3
2017-11-10	LR	H	anciens	résolution	attente	1
2017-11-10	LREM	H	anciens	résolution	discute	1
2017-11-13	LR	H	nouveaux	loi	attente	1
2017-11-14	LR	H	anciens	loi organique	attente	1
2017-11-15	LR	H	nouveaux	loi	attente	1
2017-11-17	GDR	F	anciens	création d'une commission d'enquête	attente	1
2017-11-21	LFI	F	nouveaux	création d'une commission d'enquête	attente	1
2017-11-21	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2017-11-22	LC	H	anciens	loi organique	attente	1
2017-11-24	LR	H	anciens	résolution	attente	1
2017-11-28	GDR	F	anciens	loi	attente	1
2017-11-28	LR	F	anciens	loi	attente	1
2017-11-28	LR	H	nouveaux	loi	attente	1
2017-11-29	LR	H	anciens	loi	attente	3
2017-11-29	LR	H	nouveaux	loi	attente	4
2017-11-29	NI	H	nouveaux	loi	attente	2
2017-11-30	LR	F	anciens	loi	attente	2
2017-11-30	LR	F	nouveaux	loi	attente	2
2017-11-30	LR	H	anciens	loi	attente	3
2017-11-30	LR	H	nouveaux	loi	attente	2
2017-11-30	NI	H	anciens	loi	attente	2
2017-12-01	LR	H	nouveaux	loi	attente	1
2017-12-03	LR	F	anciens	création d'une commission d'enquête	attente	1
2017-12-06	GDR	H	nouveaux	loi	attente	1
2017-12-08	LR	F	nouveaux	résolution européenne	attente	1
2017-12-08	LREM	H	anciens	résolution européenne	attente	1
2017-12-11	LFI	H	nouveaux	loi	attente	2
2017-12-11	LR	H	anciens	loi	attente	1
2017-12-11	NG	H	anciens	loi	discute	1
2017-12-11	NI	H	anciens	loi	attente	1
2017-12-11	NI	H	nouveaux	loi	attente	1
2017-12-12	GDR	F	anciens	loi	attente	1
2017-12-12	GDR	H	nouveaux	loi	attente	1
2017-12-12	LR	H	anciens	création d'une commission d'enquête	attente	1
2017-12-12	LR	H	anciens	loi	attente	3
2017-12-12	LR	H	nouveaux	loi	attente	3
2017-12-12	NG	H	anciens	loi	discute	1
2017-12-13	GDR	F	anciens	loi	attente	1
2017-12-13	UAI	H	anciens	loi	attente	5
2017-12-14	LR	H	anciens	loi	attente	1
2017-12-14	NG	H	anciens	loi	attente	1
2017-12-14	NG	H	anciens	loi	discute	1
2017-12-14	UAI	H	anciens	loi	attente	3
2017-12-15	GDR	H	nouveaux	création d'une commission d'enquête	attente	1
2017-12-15	UAI	H	anciens	loi	attente	2
2017-12-19	NI	F	nouveaux	résolution	attente	1
2017-12-22	LFI	F	nouveaux	résolution	discute	1
2017-12-22	LFI	H	nouveaux	loi constitutionnelle	discute	1
2017-12-22	LR	H	anciens	résolution	attente	1
2017-12-22	LR	H	nouveaux	loi constitutionnelle	attente	1
2017-12-26	LR	H	anciens	loi constitutionnelle	attente	1
2017-12-26	LREM	H	anciens	loi	discute	1
2017-12-27	LR	H	anciens	loi	attente	1
2017-12-27	UAI	H	anciens	loi	attente	2
2017-12-29	LFI	F	nouveaux	loi	discute	1
2017-12-29	LFI	H	nouveaux	loi	discute	2
2017-12-29	LR	F	anciens	loi	attente	2
2017-12-29	LR	H	anciens	loi	attente	2
2017-12-29	LR	H	nouveaux	loi	attente	2
2018-01-04	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-01-04	LREM	F	anciens	création d'une commission d'enquête	discute	1
2018-01-04	LREM	H	anciens	création d'une commission d'enquête	discute	1
2018-01-10	LR	F	anciens	résolution	attente	1
2018-01-10	LR	H	anciens	création d'une commission d'enquête	attente	1
2018-01-12	LREM	H	anciens	résolution	discute	1
2018-01-12	NI	H	anciens	création d'une commission d'enquête	attente	1
2018-01-15	LR	H	anciens	loi constitutionnelle	attente	1
2018-01-15	LR	H	anciens	loi organique	attente	1
2018-01-22	LR	H	anciens	loi constitutionnelle	attente	1
2018-01-23	LR	F	nouveaux	loi	attente	2
2018-01-23	LR	H	anciens	loi	attente	1
2018-01-23	LR	H	anciens	loi constitutionnelle	attente	1
2018-01-23	LR	H	nouveaux	loi	attente	2
2018-01-23	NI	F	nouveaux	création d'une commission d'enquête	attente	1
2018-01-23	NI	H	anciens	loi	attente	1
2018-01-24	LR	H	anciens	loi	attente	1
2018-01-24	LR	H	nouveaux	loi	attente	1
2018-01-24	NI	F	nouveaux	loi	attente	1
2018-01-24	UAI	H	nouveaux	loi	attente	1
2018-01-25	LR	H	anciens	loi	attente	1
2018-01-25	LR	H	nouveaux	loi	attente	1
2018-01-26	LR	F	anciens	loi	attente	1
2018-01-26	LR	H	anciens	loi	attente	3
2018-01-26	LR	H	anciens	résolution	attente	1
2018-01-26	LR	H	nouveaux	loi	attente	1
2018-01-26	MODEM	H	nouveaux	loi	discute	1
2018-01-26	NI	F	nouveaux	loi	attente	1
2018-01-26	NI	H	anciens	création d'une commission d'enquête	attente	1
2018-01-29	LREM	H	nouveaux	résolution européenne	attente	1
2018-01-30	GDR	F	anciens	loi	discute	1
2018-01-30	GDR	H	anciens	loi	attente	1
2018-01-30	GDR	H	nouveaux	loi	discute	2
2018-01-31	GDR	H	nouveaux	loi	discute	2
2018-02-05	LR	F	anciens	création d'une commission d'enquête	attente	1
2018-02-05	LR	H	nouveaux	résolution	attente	1
2018-02-06	GDR	F	anciens	création d'une commission d'enquête	attente	1
2018-02-06	LFI	H	nouveaux	loi	attente	1
2018-02-06	LR	H	nouveaux	loi	attente	1
2018-02-06	LREM	H	nouveaux	résolution européenne	discute	1
2018-02-06	NI	H	anciens	loi	attente	1
2018-02-07	LR	F	anciens	loi	attente	1
2018-02-07	LR	H	nouveaux	loi	attente	4
2018-02-07	LR	H	nouveaux	loi organique	attente	1
2018-02-07	NG	H	anciens	création d'une commission d'enquête	attente	1
2018-02-09	LR	H	anciens	résolution	attente	1
2018-02-09	NI	H	nouveaux	loi	attente	1
2018-02-12	LR	H	anciens	création d'une commission d'enquête	attente	1
2018-02-12	LR	H	nouveaux	loi	attente	1
2018-02-12	LREM	H	nouveaux	résolution européenne	discute	1
2018-02-13	LR	F	nouveaux	loi	attente	1
2018-02-13	LR	H	anciens	création d'une commission d'enquête	attente	1
2018-02-13	LR	H	anciens	loi	attente	4
2018-02-13	LR	H	anciens	loi	discute	1
2018-02-13	NI	H	anciens	loi	attente	1
2018-02-13	UAI	H	anciens	loi	attente	1
2018-02-14	LR	H	anciens	création d'une commission d'enquête	attente	1
2018-02-14	LR	H	nouveaux	loi	attente	1
2018-02-15	LR	F	anciens	loi	attente	1
2018-02-16	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-02-16	MODEM	H	nouveaux	loi constitutionnelle	attente	1
2018-02-16	NI	F	nouveaux	loi	attente	1
2018-02-20	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-02-20	LR	H	anciens	résolution	attente	1
2018-02-20	UAI	H	anciens	loi constitutionnelle	attente	1
2018-02-23	LREM	H	nouveaux	loi	discute	1
2018-02-23	UAI	H	anciens	création d'une commission d'enquête	attente	1
2018-02-26	LREM	H	nouveaux	résolution européenne	attente	1
2018-02-26	NG	H	anciens	résolution européenne	attente	1
2018-02-27	LR	F	anciens	loi	attente	3
2018-02-27	LR	F	nouveaux	création d'une commission d'enquête	attente	1
2018-02-27	LR	F	nouveaux	loi	discute	1
2018-02-27	LR	H	anciens	loi	attente	3
2018-02-27	LR	H	anciens	loi	discute	1
2018-02-27	LR	H	nouveaux	loi	attente	4
2018-02-27	LR	H	nouveaux	loi	discute	1
2018-02-27	NI	F	nouveaux	loi	attente	1
2018-02-27	NI	H	anciens	loi	attente	2
2018-02-28	LR	F	nouveaux	loi	attente	1
2018-02-28	LR	H	anciens	loi	attente	1
2018-03-02	LR	H	anciens	loi	attente	5
2018-03-02	LR	H	nouveaux	loi	attente	2
2018-03-02	NI	H	nouveaux	loi	attente	1
2018-03-05	LR	F	anciens	loi	attente	1
2018-03-05	LR	F	nouveaux	loi	attente	1
2018-03-05	LR	H	nouveaux	loi	attente	1
2018-03-06	LR	H	anciens	résolution	attente	1
2018-03-06	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-03-07	LREM	H	nouveaux	loi	attente	1
2018-03-08	LREM	F	nouveaux	résolution européenne	attente	1
2018-03-12	LR	H	nouveaux	loi organique	attente	1
2018-03-13	LFI	H	nouveaux	loi	attente	1
2018-03-13	LR	H	anciens	loi	attente	4
2018-03-13	LR	H	nouveaux	loi	attente	3
2018-03-13	LREM	H	nouveaux	loi	attente	1
2018-03-13	MODEM	F	nouveaux	loi	attente	1
2018-03-13	NI	H	nouveaux	loi	attente	1
2018-03-13	UAI	F	nouveaux	loi	attente	1
2018-03-13	UAI	H	anciens	loi	attente	2
2018-03-15	LR	F	anciens	loi	attente	2
2018-03-15	LR	H	nouveaux	loi	attente	1
2018-03-16	LR	H	nouveaux	loi	attente	1
2018-03-19	LR	H	nouveaux	résolution	attente	1
2018-03-23	LR	F	anciens	résolution	attente	1
2018-03-23	UAI	H	anciens	résolution	attente	1
2018-03-26	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-03-27	GDR	H	nouveaux	loi	discute	1
2018-03-27	LFI	H	nouveaux	loi	attente	1
2018-03-27	LR	F	anciens	loi	attente	1
2018-03-27	LR	F	nouveaux	loi	attente	2
2018-03-27	LR	H	anciens	loi	attente	6
2018-03-27	LR	H	nouveaux	loi	attente	5
2018-03-27	LREM	F	nouveaux	loi	attente	1
2018-03-27	LREM	H	anciens	loi	attente	1
2018-03-27	LREM	H	anciens	loi organique	discute	1
2018-03-27	MODEM	F	nouveaux	création d'une commission d'enquête	attente	1
2018-03-27	MODEM	H	nouveaux	loi	attente	2
2018-03-27	UAI	H	anciens	loi	attente	2
2018-03-27	UAI	H	anciens	résolution	attente	1
2018-03-28	LR	H	nouveaux	loi	attente	2
2018-03-28	LR	H	nouveaux	loi	discute	1
2018-03-28	NI	F	nouveaux	loi	attente	1
2018-03-30	GDR	F	anciens	loi	discute	1
2018-03-30	LR	H	nouveaux	résolution	attente	1
2018-04-03	LR	H	nouveaux	loi	attente	2
2018-04-03	LR	H	nouveaux	loi	discute	1
2018-04-03	UAI	H	anciens	loi	attente	1
2018-04-04	LR	F	anciens	loi	attente	1
2018-04-04	LR	H	anciens	loi	attente	1
2018-04-04	LR	H	nouveaux	loi	attente	2
2018-04-04	LREM	H	anciens	loi	discute	1
2018-04-04	NI	H	anciens	loi	attente	1
2018-04-04	UAI	H	anciens	loi	attente	1
2018-04-05	LR	F	nouveaux	loi	attente	1
2018-04-05	LR	H	nouveaux	loi	attente	1
2018-04-05	LR	H	nouveaux	loi constitutionnelle	attente	1
2018-04-05	NI	F	nouveaux	loi	attente	1
2018-04-06	LR	H	anciens	loi	attente	1
2018-04-06	LR	H	nouveaux	loi	attente	1
2018-04-09	LR	F	anciens	création d'une commission d'enquête	attente	1
2018-04-10	MODEM	H	nouveaux	loi	discute	3
2018-04-13	LR	F	anciens	résolution	attente	1
2018-04-13	NI	F	nouveaux	loi constitutionnelle	attente	1
2018-04-16	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-04-16	NI	H	nouveaux	loi	attente	2
2018-04-17	LR	H	anciens	loi	attente	3
2018-04-17	LR	H	nouveaux	loi	attente	2
2018-04-17	UAI	H	anciens	loi	attente	1
2018-04-18	LR	H	nouveaux	loi	attente	1
2018-04-19	UAI	H	nouveaux	loi	attente	1
2018-04-23	NI	H	anciens	loi constitutionnelle	attente	1
2018-04-24	LREM	H	nouveaux	création d'une commission d'enquête	attente	1
2018-04-25	UAI	H	nouveaux	loi constitutionnelle	attente	1
2018-04-25	UAI	H	nouveaux	loi organique	attente	1
2018-04-25	UAI	H	nouveaux	règlement de l'Assemblée nationale	attente	1
2018-04-26	LR	F	nouveaux	loi	attente	1
2018-04-26	LR	H	anciens	loi	attente	3
2018-04-26	NI	H	anciens	loi	attente	1
2018-04-26	NI	H	nouveaux	loi	attente	1
2018-04-26	UAI	H	anciens	loi	attente	2
2018-04-27	LR	H	anciens	résolution	attente	1
2018-05-09	LR	H	anciens	loi	attente	1
2018-05-16	LR	F	anciens	création d'une commission d'enquête	attente	1
2018-05-17	GDR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-05-17	LR	H	anciens	loi	attente	2
2018-05-18	LR	H	anciens	loi	attente	5
2018-05-18	LR	H	nouveaux	loi	attente	1
2018-05-21	LR	F	anciens	résolution européenne	attente	1
2018-05-21	LR	H	anciens	loi	attente	2
2018-05-21	LREM	H	anciens	loi	discute	2
2018-05-21	LREM	H	nouveaux	résolution européenne	attente	1
2018-05-22	LR	F	anciens	loi	attente	2
2018-05-22	LR	F	nouveaux	création d'une commission d'enquête	attente	1
2018-05-22	LR	H	anciens	loi	attente	1
2018-05-22	LREM	H	nouveaux	loi	attente	1
2018-05-22	LREM	H	nouveaux	loi organique	attente	1
2018-05-22	NI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-05-23	LR	F	anciens	loi	attente	1
2018-05-23	LR	H	anciens	loi	attente	5
2018-05-24	LFI	H	nouveaux	loi	attente	1
2018-05-24	LR	F	anciens	loi	attente	1
2018-05-24	LR	F	nouveaux	loi	attente	1
2018-05-24	LR	H	nouveaux	loi	attente	1
2018-05-24	LREM	H	nouveaux	loi	attente	1
2018-05-24	UAI	H	anciens	loi	attente	9
2018-05-25	LR	F	anciens	loi	attente	1
2018-05-25	LR	H	anciens	loi	discute	1
2018-05-25	LR	H	nouveaux	loi	attente	1
2018-05-28	LR	F	nouveaux	loi	attente	1
2018-05-30	LR	H	anciens	loi	attente	1
2018-05-30	NI	F	nouveaux	loi	attente	1
2018-05-31	LR	H	anciens	résolution	attente	1
2018-06-03	LR	F	nouveaux	loi	attente	1
2018-06-03	UAI	F	anciens	loi	attente	1
2018-06-04	LFI	F	nouveaux	résolution	attente	1
2018-06-04	LR	H	anciens	création d'une commission d'enquête	discute	1
2018-06-04	LR	H	nouveaux	loi	attente	1
2018-06-04	LR	H	nouveaux	loi organique	attente	1
2018-06-05	LR	H	anciens	loi	attente	2
2018-06-05	LR	H	nouveaux	loi	discute	1
2018-06-05	UAI	H	anciens	loi	attente	1
2018-06-06	GDR	H	anciens	résolution européenne	discute	1
2018-06-06	LFI	H	nouveaux	loi	attente	2
2018-06-06	LR	H	nouveaux	loi	attente	2
2018-06-06	LREM	H	nouveaux	résolution européenne	discute	1
2018-06-06	UAI	F	nouveaux	loi	attente	1
2018-06-07	LR	F	anciens	loi	attente	1
2018-06-08	LR	F	anciens	loi	attente	1
2018-06-11	UAI	H	anciens	résolution	discute	1
2018-06-12	LR	H	nouveaux	loi	attente	2
2018-06-12	UAI	H	nouveaux	loi organique	attente	1
2018-06-13	GDR	H	anciens	résolution	discute	1
2018-06-13	LR	H	anciens	loi	attente	1
2018-06-14	LR	H	anciens	résolution	discute	1
2018-06-14	LREM	H	nouveaux	résolution	attente	1
2018-06-14	MODEM	F	nouveaux	résolution	attente	1
2018-06-14	MODEM	H	nouveaux	résolution	discute	1
2018-06-15	LREM	F	nouveaux	résolution	discute	1
2018-06-18	LR	H	anciens	résolution	discute	1
2018-06-18	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-06-18	LREM	H	nouveaux	résolution	discute	1
2018-06-18	NG	F	anciens	résolution	attente	1
2018-06-18	NI	F	nouveaux	création d'une commission d'enquête	attente	1
2018-06-19	LFI	H	nouveaux	loi	attente	1
2018-06-19	LR	F	anciens	résolution	attente	1
2018-06-19	LR	H	anciens	loi	attente	3
2018-06-19	LR	H	nouveaux	loi	attente	3
2018-06-19	LR	H	nouveaux	résolution	attente	1
2018-06-19	LREM	H	anciens	loi	attente	1
2018-06-19	LREM	H	nouveaux	loi	attente	1
2018-06-19	LREM	H	nouveaux	résolution	discute	1
2018-06-20	LR	H	anciens	loi	attente	2
2018-06-20	MODEM	H	nouveaux	loi	attente	1
2018-06-22	LR	F	anciens	loi	attente	1
2018-06-22	LR	H	anciens	loi	attente	4
2018-06-22	LR	H	nouveaux	loi	attente	1
2018-06-22	UAI	H	anciens	loi	attente	1
2018-06-25	LREM	F	anciens	loi	discute	1
2018-06-27	LR	H	nouveaux	loi	attente	1
2018-06-27	NI	F	nouveaux	loi	attente	1
2018-06-28	NI	F	nouveaux	création d'une commission d'enquête	attente	1
2018-06-29	LR	F	anciens	résolution	attente	1
2018-06-29	LREM	H	nouveaux	résolution	attente	1
2018-06-29	NI	F	nouveaux	loi organique	attente	1
2018-07-02	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-07-03	LR	F	anciens	loi	attente	1
2018-07-03	LR	F	nouveaux	loi	attente	1
2018-07-03	LR	H	nouveaux	loi	attente	2
2018-07-03	UAI	F	anciens	loi	attente	2
2018-07-03	UAI	H	nouveaux	loi	attente	1
2018-07-04	GDR	H	nouveaux	loi	attente	1
2018-07-04	UAI	H	anciens	loi	attente	1
2018-07-05	LR	H	nouveaux	loi	attente	1
2018-07-06	LR	H	anciens	loi	attente	1
2018-07-09	UAI	F	nouveaux	résolution	attente	1
2018-07-09	UAI	H	anciens	loi constitutionnelle	attente	4
2018-07-10	UAI	H	anciens	loi constitutionnelle	attente	1
2018-07-11	NI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-07-13	NI	H	anciens	loi constitutionnelle	attente	1
2018-07-13	UAI	H	anciens	loi constitutionnelle	attente	2
2018-07-13	UAI	H	nouveaux	loi constitutionnelle	attente	1
2018-07-17	GDR	H	nouveaux	loi	attente	1
2018-07-17	LFI	H	nouveaux	création d'une commission d'enquête	attente	2
2018-07-17	LR	H	anciens	loi	attente	1
2018-07-18	LR	F	anciens	loi	attente	1
2018-07-18	LR	H	anciens	loi	discute	1
2018-07-18	LR	H	nouveaux	loi	attente	1
2018-07-18	LREM	H	nouveaux	loi	attente	1
2018-07-18	UAI	H	anciens	loi	attente	1
2018-07-23	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-07-23	NI	F	nouveaux	création d'une commission d'enquête	attente	1
2018-07-24	NI	F	nouveaux	création d'une commission d'enquête	attente	1
2018-07-26	GDR	H	anciens	résolution européenne	attente	1
2018-07-26	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-07-26	LREM	H	anciens	résolution	attente	1
2018-07-26	LREM	H	nouveaux	résolution européenne	attente	1
2018-07-30	LR	H	anciens	création d'une commission d'enquête	attente	2
2018-07-31	LFI	F	nouveaux	loi	attente	1
2018-07-31	LR	H	anciens	loi	attente	3
2018-07-31	LR	H	nouveaux	loi	attente	5
2018-08-02	LR	F	nouveaux	loi	attente	1
2018-08-02	LR	F	nouveaux	loi	discute	1
2018-08-02	LR	H	anciens	loi	attente	1
2018-08-03	LR	H	anciens	loi	attente	3
2018-08-03	LR	H	nouveaux	loi	attente	1
2018-08-03	UAI	H	anciens	loi	attente	1
2018-08-03	UAI	H	nouveaux	loi	attente	1
2018-08-08	LR	H	nouveaux	loi	attente	1
2018-08-14	LR	H	anciens	loi constitutionnelle	attente	1
2018-08-16	LR	H	anciens	loi constitutionnelle	attente	1
2018-09-05	LR	F	anciens	loi	attente	1
2018-09-05	LR	H	anciens	loi	attente	2
2018-09-05	LREM	F	nouveaux	loi	attente	1
2018-09-07	LR	H	nouveaux	loi	discute	1
2018-09-11	LR	H	nouveaux	loi	discute	1
2018-09-25	GDR	H	anciens	loi	attente	1
2018-09-25	LR	F	anciens	loi	attente	3
2018-09-25	LR	F	nouveaux	loi	attente	1
2018-09-25	LR	H	anciens	loi	attente	2
2018-09-25	LR	H	nouveaux	loi	attente	3
2018-09-25	LREM	H	nouveaux	loi	attente	1
2018-09-28	LR	H	anciens	résolution	attente	1
2018-10-02	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-10-04	LR	H	nouveaux	loi	attente	1
2018-10-05	LFI	H	nouveaux	création d'une commission d'enquête	attente	1
2018-10-09	LR	F	anciens	loi	attente	1
2018-10-09	LR	F	nouveaux	loi	attente	3
2018-10-09	LR	F	nouveaux	résolution	attente	1
2018-10-09	LR	H	anciens	loi	attente	1
2018-10-09	NI	H	anciens	loi	attente	2
2018-10-09	SOC	H	anciens	loi	attente	1
2018-10-10	LR	F	nouveaux	résolution européenne	attente	1
2018-10-10	LR	H	nouveaux	loi	attente	1
2018-10-10	UAI	H	nouveaux	loi	discute	1
2018-10-11	LR	F	anciens	loi	attente	1
2018-10-11	LR	H	anciens	résolution	attente	1
2018-10-12	LR	H	nouveaux	loi	attente	1
2018-10-15	LREM	F	nouveaux	résolution européenne	attente	1
2018-10-15	MODEM	H	nouveaux	résolution européenne	attente	1
2018-10-16	LR	H	nouveaux	loi constitutionnelle	attente	1
2018-10-18	LR	H	nouveaux	loi organique	attente	1
2018-10-22	LR	H	nouveaux	loi organique	attente	1
2018-10-23	GDR	H	nouveaux	loi	attente	1
2018-10-23	LR	F	anciens	loi	attente	1
2018-10-23	LR	F	nouveaux	loi	attente	2
2018-10-23	LR	H	anciens	création d'une commission d'enquête	attente	1
2018-10-23	LR	H	anciens	loi	attente	3
2018-10-23	LR	H	nouveaux	loi	attente	4
2018-10-23	LREM	H	nouveaux	loi	attente	1
2018-10-23	MODEM	F	nouveaux	loi	attente	1
2018-10-23	MODEM	F	nouveaux	loi	discute	3
2018-10-23	MODEM	H	nouveaux	loi	discute	1
2018-10-23	UAI	F	nouveaux	loi	attente	1
2018-10-23	UAI	F	nouveaux	loi	discute	1
2018-10-23	UAI	H	anciens	loi	attente	2
2018-10-23	UAI	H	nouveaux	loi	attente	1
2018-10-26	LR	H	nouveaux	loi	attente	1
2018-10-26	UAI	H	anciens	résolution	discute	1
2018-10-29	LR	F	anciens	loi	attente	1
2018-10-30	LR	H	anciens	loi	attente	1
2018-10-30	LR	H	nouveaux	loi	attente	1
2018-10-30	NI	H	nouveaux	loi	attente	1
2018-10-30	UAI	H	anciens	loi	attente	1
2018-10-31	LR	H	anciens	création d'une commission d'enquête	attente	2
2018-10-31	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-10-31	LT	H	nouveaux	loi	attente	1
2018-11-06	LR	F	anciens	loi constitutionnelle	attente	1
2018-11-06	LR	H	nouveaux	création d'une commission d'enquête	attente	1
2018-11-07	LR	H	anciens	loi	attente	1
2018-11-12	LR	H	anciens	résolution	attente	1
2018-11-12	LREM	H	nouveaux	loi	discute	1
2018-11-13	GDR	H	nouveaux	loi	attente	1
